longitude,latitude,toll_name,geo_state
76.7704241,12.9627873,Bellur Toll Plaza,Karnataka
78.3480532,28.1884316,Belon Toll Plaza,Uttar Pradesh
83.8393474,25.6367166,Belsari Toll Plaza,Uttar Pradesh
77.9419862,13.2608012,BENGALURU - CHINTAMANI STATE TOLL PLAZA,Karnataka
78.0205142,29.9126394,Bhadarabad Toll Plaza,Uttarakhand
72.0918993,21.9858437,Bhadbhid Toll Plaza,Gujarat
73.8098679,28.5940189,Bhadera Toll Plaza,Rajasthan
87.2369304,26.3431495,Bhadesar Toll Plaza,Bihar
76.3707023,26.2249037,Bhadoti Toll Plaza,Rajasthan
86.326952,20.9442238,Bhagada Narayanpur Toll Plaza,Odisha
87.0099137,25.2310846,Bhagalpur Toll Plaza,Bihar
77.0608762,29.0717717,Bhagan Toll Plaza,Haryana
76.6069388,30.7601087,Bhagomajra Toll Plaza,Punjab
74.8250045,31.2499858,Bhagupur toll Plaza,Punjab
72.9170484,20.435004,Bhagwada Toll Plaza,Gujarat
77.8208919,29.9310992,Bhagwanpur Toll Plaza,Uttarakhand
71.7838059,23.9112909,Bhalgam Toll Plaza,Gujarat
76.203269,28.208603,Bhalkhi Toll Plaza,Haryana
78.0172319,20.2348697,Bhamb Raja Toll Plaza,Maharashtra
76.432023,26.91668,Bhandaraj Toll Plaza,Rajasthan
78.2542342,29.5452425,Bhanera Toll Plaza,Uttar Pradesh
82.12671,26.63558,Bharatkhund Toll Plaza,Uttar Pradesh
82.1305397,26.6406296,Bharatkund Toll Plaza,Uttar Pradesh
77.7196277,26.8522028,Bharatpur - Dholpur Toll Plaza,Rajasthan
70.6639123,21.8053087,Bharudi Toll Plaza,Gujarat
73.775314,19.752854,Bharvir Toll Plaza,Maharashtra
72.642183,23.115498,Bhat Toll Plaza,Gujarat
72.921598,21.089828,Bhatia Toll Plaza,Gujarat
73.8418486,22.7928616,Bhatwada Toll Plaza,Gujarat
75.2010125,29.5321359,Bhavdeen Toll Plaza,Haryana
82.6706178,26.2268497,Bhelara Toll Plaza,Uttar Pradesh
78.3986122,18.2053501,Bhiknoor Toll Plaza,Telangana
71.9770471,24.1439022,Bhiladi Toll Plaza,Gujarat
76.824531,28.174303,Bhiwadi Toll Plaza,Rajasthan
77.6192622,28.8001909,Bhojpur Dme Km 4570 Toll Plaza,Uttar Pradesh
82.0097251,21.9322,Bhojpuree Toll Plaza,Chhattisgarh
82.0121613,21.9322041,Bhojpuri Toll Plaza,Chhattisgarh
72.0006434,25.6413634,Bhooka Toll Plaza,Rajasthan
77.5028928,23.371139,Bhopal Vidisha Toll Plaza,Madhya Pradesh
72.2690053,24.4938478,Bhordu Toll Plaza,Gujarat
76.2176519,22.974901,Bhourasa Toll Plaza,Madhya Pradesh
79.0493331,14.7359148,Bhramanapalli Toll Plaza,Andhra Pradesh
77.576387,29.1260434,Bhuni Toll Plaza,Uttar Pradesh
75.16324953,23.59783352,Bhuteda Toll Plaza,Madhya Pradesh
85.058237,21.505816,Bideibadkudar Toll Plaza,Odisha
78.5061526,23.1318658,Bijanhai Toll Plaza,Madhya Pradesh
75.739648,16.786741,Bijapur Toll Plaza,Karnataka
77.600397,28.520428,Bilakbarpur Toll Plaza,Uttar Pradesh
75.2892267,24.0204586,Bilantri Toll Plaza,Madhya Pradesh
78.2526045,26.0553257,Billaua Toll Plaza,Madhya Pradesh
78.2469299,26.0561347,Billowa Toll Plaza,Madhya Pradesh
77.454546,18.434802,Biloli Check Post Toll Plaza,Maharashtra
74.0625779,26.1220223,Binaswas Toll Plaza,Rajasthan
73.3923251,26.2792,Binawas Toll Plaza,Rajasthan
73.2014504,25.3711492,Birami Toll Plaza,Rajasthan
74.0625779,26.1220223,Biratiya Toll Plaza,Rajasthan
75.889119,28.468107,Bisalwas Toll Plaza,Haryana
80.5716192,25.4143199,Bisanda Km 24 Toll Plaza,Uttar Pradesh
84.3754704,26.9972044,Bishunpurwa Toll Plaza,Bihar
72.8508187,22.4129711,Bochasan Toll Plaza,Gujarat
78.7145603,9.3981624,Bogalur Toll Plaza,Tamil Nadu
83.6310796,20.7407941,Bolangir Toll Plaza,Odisha
80.0705548,15.8866134,Bollapalli Toll Plaza,Andhra Pradesh
78.350437,17.141561,Bongulur Toll Plaza,Telangana
76.2448771,26.3330098,Bonli Toll Plaza,Rajasthan
71.5596491,25.1020098,Bor Charnan Toll Plaza,Rajasthan
78.5151964,23.0302602,Boras Toll Plaza,Madhya Pradesh
74.783872,17.000291,Borgaon Toll Plaza,Maharashtra
73.45132,20.272237,Borgaon Check Post Toll Plaza,Maharashtra
73.052162,20.885548,Boriach Toll Plaza,Gujarat
73.0494895,20.8857308,Boriyach Toll Plaza,Gujarat
78.963632,20.85612,Borkhedi Toll Plaza,Maharashtra
75.017921,22.2102048,Borood Toll Plaza,Madhya Pradesh
75.0039297,12.8755179,Brahamarakotlu Toll Plaza,Karnataka
79.2591302,14.7570435,Brahmanapalle Toll Plaza,Andhra Pradesh
79.8115709,20.6069327,Brahmapuri Toll Plaza,Maharashtra
78.110043,28.767149,Brijghat Toll Plaza,Uttar Pradesh
84.9518215,25.7478818,Brindawan Toll Plaza,Bihar
76.5444993,30.9089595,BSC-C&C Kurali Toll Plaza,Punjab
76.2232654,28.305432,Buchawas Toll Plaza,Haryana
79.8624013,14.5436553,Buchireddypalem Toll Plaza,Andhra Pradesh
77.153804,14.121006,Buddareddyhalli Toll Plaza,Karnataka
79.894624,14.059589,Budhanam (NH- 16) Toll Plaza,Andhra Pradesh
73.1086818,27.3481293,Bungri Toll Plaza,Rajasthan
76.041609,12.521607,Byadarahalli Toll Plaza,Karnataka
76.469761,29.197681,Chabri Toll Plaza,Haryana
73.6649025,20.2234447,Chachadgaon Toll Plaza,Maharashtra
76.189686,23.58181,Chachakhedi Toll Plaza,Madhya Pradesh
78.5748068,14.9795772,Chagalmarri Toll Plaza,Andhra Pradesh
75.7908,30.9887,Chahar Toll Plaza,Punjab
75.3044463,31.0241526,Chak Bamniya Toll Plaza,Punjab
75.71171,23.2552498,Chakrawada Toll Plaza,Madhya Pradesh
75.7179749,23.2547289,Chakrawda Toll Plaza,Madhya Pradesh
75.7280533,14.5568588,Chalageri Toll Plaza,Karnataka
74.07695546,19.17250718,Chalakwadi Toll Plaza,Maharashtra
79.5780469,26.0366451,Chamari Toll Plaza,Uttar Pradesh
79.2043586,20.9673087,Champa Toll Plaza,Maharashtra
79.1972487,20.963919,Champa / Umred Toll Plaza,Maharashtra
78.8705315,23.8876988,Chanatoriya (Sagar) Toll Plaza,Madhya Pradesh
88.0198929,24.56314998,Kishorpur Toll Plaza,West Bengal
76.897914,30.738908,Chandimandir Toll Plaza,Haryana
76.641341,29.861128,Chandlana Toll Plaza,Haryana
74.210726,20.3251297,Chandwad Toll Plaza,Maharashtra
78.4516785,15.459914,Chapirevula Toll Plaza,Andhra Pradesh
